R,G,B
71,58,84
73,60,88
89,78,108
92,81,111
92,83,114
92,82,116
87,80,114
80,73,107
75,67,104
76,68,105
81,75,111
88,82,118
81,74,108
79,69,104
74,67,101
73,66,100
72,65,99
71,64,98
71,65,99
75,69,103
70,64,98
78,72,106
74,70,103
66,62,95
68,64,97
72,68,101
70,69,101
70,69,101
77,78,108
78,79,107
80,81,109
86,87,117
87,86,117
73,72,103
64,63,94
71,70,102
85,81,114
83,79,114
86,80,116
91,85,121
96,90,126
96,90,126
96,90,126
97,91,127
102,97,129
99,94,124
92,86,114
84,78,106
82,76,102
83,78,101
85,77,100
82,74,97
74,66,90
81,73,97
91,81,108
94,83,113
87,76,108
78,67,101
77,63,98
78,67,101
74,65,96
66,62,89
63,59,86
66,64,88
72,72,96
78,78,102
78,79,100
76,77,97
75,72,93
86,78,99
91,79,101
96,78,100
104,80,104
109,79,103
114,80,105
121,87,114
110,76,103
75,69,105
83,77,113
92,84,121
93,85,122
86,78,117
80,70,105
91,78,106
90,76,101
72,58,83
72,58,83
73,59,85
72,59,87
90,77,107
90,79,109
94,83,115
95,86,117
95,85,119
86,79,113
79,72,106
78,70,107
83,77,113
91,83,120
85,75,110
81,71,106
76,69,103
76,69,103
76,69,103
75,68,102
71,65,99
69,63,97
76,70,104
88,82,116
83,79,112
70,66,99
70,66,99
74,70,103
68,67,99
62,61,92
72,73,101
77,79,104
81,83,108
86,87,115
84,84,112
70,70,98
63,63,91
69,68,99
77,74,105
77,73,106
83,77,111
90,84,118
94,88,122
96,90,124
98,92,126
102,96,130
104,99,131
103,98,128
99,93,121
93,87,113
88,83,106
85,80,103
85,77,100
83,75,98
81,73,97
87,79,103
94,84,109
95,85,112
89,78,108
80,69,101
78,64,97
75,64,96
72,63,92
58,52,78
49,43,69
53,49,74
66,64,88
75,76,97
74,75,95
71,70,88
78,75,94
80,76,93
80,68,88
79,64,83
90,68,89
96,71,93
102,72,96
111,79,103
111,79,103
72,65,99
77,70,104
87,77,114
91,81,118
87,77,114
82,71,105
93,78,107
98,80,106
83,64,92
80,64,91
79,63,92
76,61,90
90,75,106
87,74,104
91,77,110
94,83,115
95,85,119
92,82,117
83,76,110
80,73,107
83,75,112
88,80,117
86,76,111
82,72,107
77,70,104
79,72,106
83,76,110
81,74,108
72,66,100
62,56,90
74,68,102
85,79,113
81,77,110
70,66,99
72,68,101
75,71,104
67,66,98
58,57,88
66,66,92
73,73,99
77,77,103
81,81,107
80,80,106
72,72,100
71,68,97
80,77,106
81,78,107
80,77,108
84,79,111
89,84,116
92,87,119
91,85,119
93,86,120
96,89,122
100,93,124
102,95,126
104,98,126
102,96,124
97,88,115
89,81,105
85,77,100
84,76,99
94,84,108
93,83,108
92,82,107
89,79,106
88,75,105
84,70,103
78,64,97
73,59,92
75,65,92
59,51,75
46,38,62
48,43,66
65,61,84
76,74,95
74,72,93
65,64,82
81,78,97
75,71,88
65,56,73
65,52,69
80,61,80
90,69,88
95,70,91
101,73,95
109,81,104
72,65,99
74,64,99
79,69,106
84,74,111
84,74,111
86,72,107
86,70,99
96,78,104
87,68,96
89,70,98
88,69,99
83,67,96
94,77,109
87,72,103
87,73,106
91,77,110
92,81,115
90,80,114
83,76,110
80,73,107
82,75,109
84,77,111
90,80,115
88,78,113
84,77,111
83,76,110
86,79,113
84,77,111
74,68,102
63,57,91
65,59,93
72,66,100
69,65,98
67,63,96
75,71,104
79,75,108
68,67,99
60,59,90
61,61,87
68,68,92
71,71,95
74,74,98
78,78,102
75,75,101
79,76,103
89,86,113
90,87,114
86,83,112
86,81,111
89,84,114
89,84,114
86,81,111
84,77,108
83,76,107
91,84,115
96,89,120
103,97,125
105,99,125
101,93,117
91,83,107
87,79,102
89,81,104
104,94,118
101,91,115
93,83,107
86,76,101
85,72,100
84,71,101
80,67,97
74,61,91
80,70,95
68,58,83
57,49,73
59,51,74
69,64,86
77,74,93
74,73,91
69,68,84
81,78,95
73,69,84
62,54,69
63,52,68
79,65,82
90,73,89
92,74,90
