R,G,B
172,128,117
171,125,112
170,124,111
169,123,110
170,124,111
171,128,112
174,131,115
175,132,116
173,131,115
169,130,113
171,134,116
175,138,120
175,138,120
172,135,117
167,130,112
163,126,108
161,124,106
160,123,105
160,123,105
160,123,105
160,123,105
159,122,104
157,120,102
157,120,102
157,120,102
162,123,106
163,124,107
165,126,109
167,128,111
168,129,114
168,129,114
168,129,114
168,129,114
171,131,119
174,134,122
176,136,124
176,136,124
173,133,123
169,129,119
166,126,116
165,125,115
165,127,114
168,130,117
170,132,119
169,131,118
166,128,115
165,127,114
168,130,117
171,133,120
166,128,115
149,110,103
157,120,112
157,120,112
155,121,112
155,121,112
156,123,114
158,125,116
160,127,118
161,128,119
158,124,114
157,123,111
156,122,110
157,123,111
159,125,113
160,126,114
158,124,112
157,123,111
160,127,112
158,125,110
156,123,108
154,121,106
154,121,106
155,122,107
158,125,110
159,126,111
156,124,111
156,124,113
155,123,112
154,122,111
154,122,111
154,122,111
155,123,112
155,123,112
156,124,113
156,124,113
158,126,115
159,127,116
160,128,117
161,129,118
161,129,118
161,129,118
163,129,119
162,128,118
159,125,115
156,122,112
153,119,109
150,116,106
148,114,104
146,112,102
149,115,105
156,122,112
163,129,117
165,131,119
162,128,116
159,125,113
158,124,112
160,126,114
158,126,113
158,126,113
159,127,114
159,127,114
158,126,115
157,125,114
156,123,114
156,123,114
165,132,125
164,131,124
162,129,122
159,126,119
155,122,117
150,117,112
145,112,107
142,109,102
142,105,99
145,108,102
150,113,107
155,118,112
159,122,114
160,123,115
160,123,114
159,122,113
153,117,105
155,119,107
156,120,106
157,121,107
158,122,108
160,124,110
164,128,112
167,131,117
157,123,111
157,123,111
157,123,111
158,124,112
159,125,113
161,127,115
162,130,117
163,131,118
158,129,115
156,127,113
154,125,111
154,125,111
154,126,112
154,126,112
153,125,111
153,123,112
153,118,112
153,115,112
152,115,109
153,116,110
152,117,111
153,118,112
151,118,109
150,117,108
150,120,110
151,121,111
153,123,112
155,127,115
158,130,118
160,132,120
160,132,120
160,132,118
158,127,109
161,128,109
163,130,113
163,130,113
161,128,111
159,126,109
160,127,112
161,128,113
155,121,109
157,123,111
160,126,116
162,128,118
164,130,121
165,131,122
164,130,121
163,131,120
161,129,118
159,129,118
160,128,115
161,127,115
164,128,116
166,126,116
169,127,115
171,127,116
170,124,111
169,123,110
168,122,107
169,123,108
172,126,111
172,129,113
173,130,113
171,130,112
168,129,112
171,132,115
174,135,118
174,135,118
171,132,115
166,127,110
162,123,106
161,122,105
163,124,107
163,124,107
163,124,107
163,124,107
163,124,107
162,123,106
161,122,105
159,120,103
157,120,102
159,122,104
161,124,106
164,127,109
166,129,113
166,129,113
166,129,113
165,128,112
171,133,120
175,137,124
179,141,128
180,142,129
175,137,126
167,129,118
161,123,112
157,119,108
164,126,113
166,128,115
168,130,117
166,128,115
164,126,113
164,126,113
168,130,117
171,133,120
167,129,116
152,113,106
156,119,111
156,119,111
155,121,112
156,122,113
156,123,114
157,124,115
158,125,116
158,125,116
157,123,114
156,122,112
156,122,112
158,124,114
160,126,116
161,127,115
159,125,113
158,124,112
161,128,113
159,126,111
155,122,107
152,119,104
151,118,103
152,119,102
155,122,105
157,124,109
155,123,110
155,123,112
154,122,111
154,122,111
154,122,111
155,123,112
156,124,113
156,124,113
155,123,112
156,124,113
157,125,114
158,126,115
159,127,116
161,129,118
162,130,119
162,130,119
157,123,113
157,123,113
156,122,112
155,121,111
154,120,110
154,120,110
153,119,109
152,118,108
151,117,107
155,121,111
159,125,113
161,127,115
160,126,114
159,125,113
158,124,112
157,123,111
160,128,115
161,129,116
161,129,116
162,130,117
161,129,118
159,127,116
157,124,115
156,123,114
158,125,118
160,127,120
161,128,121
162,129,122
160,127,122
156,123,118
152,119,114
149,116,111
142,105,99
144,107,101
148,111,105
152,115,109
156,119,111
159,122,114
161,124,115
161,124,115
160,124,112
161,125,113
160,124,110
159,123,109
157,121,107
157,121,107
160,124,108
162,126,110
156,122,110
157,123,111
157,123,111
158,124,112
159,125,113
159,125,113
159,127,114
159,127,114
157,128,114
155,126,112
154,125,111
153,124,110
153,125,111
152,124,110
150,122,108
149,119,108
152,117,111
153,115,112
151,114,108
152,115,109
152,117,111
154,119,113
153,120,111
152,119,110
151,121,111
151,121,111
150,122,110
153,125,113
155,127,115
157,129,117
155,129,116
155,127,113
159,128,110
162,129,110
163,130,113
163,130,113
161,128,111
160,127,110
160,127,112
161,128,113
155,121,109
158,124,112
161,127,117
165,131,121
166,132,123
167,133,124
166,132,123
164,131,122
160,130,119
158,128,117
157,125,112
156,122,110
158,122,110
162,122,112
167,125,113
170,126,115
174,128,115
172,126,113
171,125,110
171,125,110
171,125,110
171,125,110
167,124,107
165,122,105
170,128,112
170,131,114
172,133,116
171,132,115
168,129,112
164,125,108
162,123,106
162,123,106
162,123,106
161,122,105
162,123,106
163,124,107
165,126,109
165,126,109
162,123,106
160,121,104
155,118,100
157,120,102
161,124,106
164,127,109
166,129,113
166,129,113
165,128,112
164,127,111
165,127,114
170,132,119
176,138,125
179,141,128
175,137,126
169,131,120
163,125,114
159,121,110
164,126,113
164,126,113
165,127,114
164,126,113
164,126,113
165,127,114
169,131,118
171,133,120
168,130,117
155,116,109
155,118,110
156,119,111
157,123,114
158,124,115
158,125,116
157,124,115
156,123,114
155,122,113
155,121,112
155,121,112
156,122,113
158,124,114
161,127,117
162,128,118
160,126,114
158,124,112
157,124,109
156,123,108
154,121,104
153,120,103
152,119,102
153,120,101
155,122,103
156,123,106
